date,followers,monthly_listeners,total_streams
2026-02-22,109810335,84967101,
2026-02-23,109827867,84895934,
2026-02-24,109841234,84815034,
2026-02-25,109858447,84833818,
2026-02-26,109858447,84774722,
2026-02-27,109896511,84669158,
2026-02-28,109917111,84601163,
2026-03-01,109939818,84542329,
2026-03-02,109939818,84450266,
2026-03-03,109984282,84378541,
2026-03-04,109984282,84317667,
2026-03-05,110005537,84186751,
2026-03-06,110026997,84082610,
2026-03-07,110074611,83898407,
2026-03-08,110074611,83775275,
2026-03-09,110100133,83582010,
2026-03-10,110124676,83474164,
2026-03-11,110147043,83399663,
2026-03-12,110192290,83265103,
2026-03-13,110212913,83052002,
2026-03-14,110235215,82885699,
2026-03-15,110235215,82804270,
2026-03-16,110284940,82565244,
2026-03-17,110308552,82335355,
2026-03-18,110331011,82134580,
2026-03-19,110353785,81943813,
2026-03-20,110377644,81914065,
2026-03-21,110404699,81918881,
2026-03-22,110429834,81950299,148967109
2026-03-23,110456137,81938908,148967109
2026-03-24,110478493,81869468,148967109
2026-03-25,110502022,81878824,148967109
2026-03-26,110524716,81912694,148967109
2026-03-27,110552037,81869596,148967109
2026-03-28,110577201,81870828,148967109
2026-03-29,110603088,81866397,148967109
2026-03-30,110627751,81871881,148967109
2026-03-31,110649684,81915771,148967109
2026-04-01,110671883,81980916,148967109
2026-04-02,110694405,82049727,148967109
2026-04-03,110717356,82117359,148967109
2026-04-04,110739922,82104963,148967109
2026-04-05,110762675,82109086,148967109
2026-04-06,110784950,82082952,148967109
2026-04-07,110805127,81947734,148967109
2026-04-08,110825292,82056202,148967109
2026-04-09,110825292,82097924,148967109
2026-04-10,110846600,82154753,148967109
2026-04-11,110867887,82159156,148967109
2026-04-12,110889364,82153103,148967109
2026-04-13,110935744,82224042,148967109
2026-04-14,110935744,82356849,148967109
2026-04-15,110977642,82444775,148967109
2026-04-16,110977642,82565695,148967109
2026-04-17,111019540,82624109,148967109
2026-04-18,111041833,82639668,148967109
2026-04-19,111065750,82669087,148967109
2026-04-20,111090199,82741370,148967109
2026-04-21,111110989,82743242,148967109
2026-04-22,111131557,82816104,148967109
2026-04-23,111151739,82904041,148967109
2026-04-24,111172359,82936916,148967109
2026-04-25,111193719,82991145,148967109
2026-04-26,111217701,83056976,148967109
2026-04-27,111240757,83071641,148967109
2026-04-28,111260694,83105511,148967109
2026-04-29,111285391,83199304,148967109
2026-04-30,111285391,83234512,148967109
2026-05-01,111337684,83359366,148967109
2026-05-02,111366812,83553780,148967109
2026-05-03,111394614,83730488,148967109
2026-05-04,111421682,83886732,148967109
2026-05-05,111444757,84062646,148967109
2026-05-06,111467181,84126067,148967109
2026-05-07,111490805,84136290,148967109
2026-05-08,111515232,84068097,148967109
2026-05-09,111515232,84068097,148967109
